"","name","author","license","version","n.depends","n.imports","n.suggests","n.Rfiles","mean.length.Rfiles","median.length.Rfiles","sd.length.Rfiles","min.length.Rfiles","max.length.Rfiles","sum.length.Rfiles","mean.length.funs","sd.length.funs","min.length.funs","max.length.funs","mean.param.funs","sd.param.funs","min.param.funs","max.param.funs","prop.exported.funs","n.exported.funs","n.all.funs","prop.underscore.exp","prop.underscore.all","prop.cc.exp","prop.cc.all"
"1","adabag","Alfaro-Cortes, Esteban; Gamez-Martinez, Matias and
Garcia-Rubio, Noelia","GPL (>= 2)","x.x","3","0","0","9","70.3333333333333","44","48.0832611206852","30","168","633","46.5","31.4824213989785","21","115","4.25","1.75254916376933","2","7","1","8","8","0","0","0","0"
"2","akima","Fortran code by H. Akima R port by Albrecht Gebhardt
<albrecht.gebhardt@uni-klu.ac.at> aspline function by Thomas
Petzoldt <thomas.petzoldt@tu-dresden.de> interp2xyz,
enhancements and corrections by Martin Maechler
<maechler@stat.math.ethz.ch>","file LICENSE","x.x-x","1","0","0","9","57.1111111111111","66","28.976043744982","14","89","514","32.75","23.4749106190296","8","65","7.5","2.8784916685157","2","10","0.8","8","10","0","0","0","0"
"3","animation","Yihui Xie","GPL-2 | GPL-3","x.x","1","1","0","51","83.3333333333333","67","56.109773361391","14","267","4250","37.1481481481481","28.7404831877342","4","128","6.22222222222222","3.97476315500242","0","17","0.964285714285714","54","56","0","0","0.12962962962963","0.125"
"4","ascii","David Hajage","GPL (>= 2)","x.x","3","0","6","42","153.904761904762","89","193.135085989537","5","1001","6464","26.6938775510204","38.9578854243232","0","121","2.08163265306122","2.91430905686263","0","13","0.260606060606061","49","165","0","0.00606060606060606","0.326530612244898","0.206060606060606"
"5","base64","Romain Francois, based on code by Bob Trower available at
http://base64.sourceforge.net/","GPL (>= 2)","x.x","0","0","0","1","19","19",NA,"19","19","19","7.33333333333333","4.93288286231625","4","13","2.66666666666667","0.577350269189626","2","3","1","3","3","0","0","0","0"
"6","benchmark","Manuel J. A. Eugster [aut, cre]","GPL (>= 2)","x.x-x","8","0","8","19","149.210526315789","128","108.120087016124","17","359","2835","12.3461538461538","22.7489644734741","0","90","1.92307692307692","2.03809866146027","0","8","0.227848101265823","26","79","0.0384615384615385","0.0886075949367089","0","0.227848101265823"
"7","biglm","Thomas Lumley","GPL","x.x","2","0","2","13","41.3076923076923","27","36.3670744295455","5","125","537","41.4","27.1808756297511","20","89","5.6","2.60768096208106","4","10","0.2","5","25","0","0","0","0"
"8","bigmemory","Michael J. Kane <kaneplusplus@gmail.com> and John W. Emerson
<jayemerson@gmail.com>","LGPL-3","x.x.x","4","0","0","2","819","819","1132.78506346085","18","1620","1638","28.9310344827586","13.068312369137","6","75","3.48275862068966","3.62156921054921","1","15","0.5","29","54","0","0","0.0344827586206897","0.037037037037037"
"9","bitops","S original by Steve Dutky <sdutky@terpalum.umd.edu> initial R
port and extensions by Martin Maechler; revised and modified by
Steve Dutky","GPL (>= 2)","x.x-x","0","0","0","1","55","55",NA,"55","55","55","4.57142857142857","1.51185789203691","4","8","1.85714285714286","0.377964473009227","1","2","1","7","7","0","0","0.857142857142857","0.857142857142857"
"10","boot","S original <http://statwww.epfl.ch/davison/BMA/library.html> by
Angelo Canty <cantya@mcmaster.ca>.  R port and many
enhancements by Brian Ripley <ripley@stats.ox.ac.uk>.  Note
that maintainers are not available to give advice on using a
package they did not author.","Unlimited","x.x-x","3","0","2","2","1810.5","1810.5","2386.4853865046","123","3498","3621","56.4444444444444","54.8527610683856","3","282","6.58333333333333","4.42960817357795","1","16","0.45","36","80","0","0","0","0.0125"
